#{"t_start": 1645379623.556783, "env_id": null}
r,l,t
-0.833333,8,114.142284
-0.761905,11,114.273288
1.095238,5,114.424285
-0.714286,13,114.574283
-9.738095,12,114.720284
1.261905,12,114.848286
-9.809524,9,114.950253
-0.714286,13,115.090605
-0.809524,9,115.19412
1.214286,10,115.307419
1.238095,11,115.429366
-0.833333,8,115.523038
1.214286,10,115.634621
1.261905,12,115.765555
1.214286,10,115.953174
-9.714286,13,116.08518
1.261905,12,116.215177
1.238095,11,116.561175
1.238095,11,116.690175
1.071429,4,116.746175
1.309524,14,116.899177
1.095238,5,116.960179
-0.690476,14,117.108175
1.214286,10,117.214176
1.214286,10,117.321179
-0.833333,8,117.41518
1.071429,4,117.466175
1.333333,15,117.694175
1.261905,12,117.820174
1.142857,7,117.89914
1.166667,8,117.985494
-0.880952,6,118.057494
1.142857,7,118.141573
-0.857143,7,118.224573
1.166667,8,118.31558
1.214286,10,118.422573
1.071429,4,118.473573
-0.738095,12,118.602574
1.190476,9,118.701573
-0.785714,10,118.810577
-0.785714,10,118.923573
-0.809524,9,119.025368
1.309524,14,119.244367
1.119048,6,119.314377
1.238095,11,119.432365
-9.738095,12,119.552379
-9.714286,13,119.67837
-0.785714,10,119.792368
1.238095,11,119.910622
1.095238,5,119.971611
-0.761905,11,120.092612
1.095238,5,120.155612
1.214286,10,120.261236
1.071429,4,120.313243
-9.690476,14,120.452236
-9.738095,12,120.644641
1.142857,7,120.725638
1.333333,15,120.877637
-9.833333,8,120.959636
-9.761905,11,121.073637
-0.714286,13,121.212635
-0.880952,6,121.287636
1.190476,9,121.385637
1.142857,7,121.465498
-0.642857,16,121.632494
1.095238,5,121.692494
1.357143,16,121.856497
1.142857,7,121.940249
1.166667,8,122.102754
-0.880952,6,122.177186
1.214286,10,122.283632
-0.785714,10,122.394145
1.190476,9,122.49316
1.190476,9,122.592157
1.142857,7,122.672172
1.285714,13,122.80918
-0.761905,11,122.929998
-0.785714,10,123.039943
1.190476,9,123.141459
-9.785714,10,123.244481
1.238095,11,123.359194
-0.833333,8,123.526289
1.238095,11,123.641294
-0.857143,7,123.727292
1.261905,12,123.858772
1.190476,9,123.971773
-0.880952,6,124.049773
1.142857,7,124.128774
1.119048,6,124.202778
1.166667,8,124.302772
1.357143,16,124.476773
-0.857143,7,124.564774
1.190476,9,124.666772
1.119048,6,124.737774
-0.809524,9,124.840107
-0.738095,12,124.971123
1.166667,8,125.137296
1.238095,11,125.255236
1.119048,6,125.325166
1.119048,6,125.394167
1.214286,10,125.501179
1.190476,9,125.600481
-9.690476,14,125.7395
1.142857,7,125.8185
1.142857,7,125.898005
-0.809524,9,125.998109
-0.785714,10,126.110426
1.190476,9,126.211425
1.071429,4,126.266425
-0.666667,15,126.420427
1.214286,10,126.604429
1.071429,4,126.656435
1.285714,13,126.788429
1.261905,12,126.916033
1.166667,8,127.005037
1.214286,10,127.112034
-9.738095,12,127.233728
1.119048,6,127.306728
1.166667,8,127.395729
1.142857,7,127.47473
1.166667,8,127.564735
-0.809524,9,127.667728
